mall,outlet,lot,status,myehalal_matches,cert_holder,directory_url
1 Utama Shopping Centre,Absolute Thai,LG351,uncertified,0,,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,AK Noodles House,LG121,uncertified,0,,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,ANTE,F346,uncertified,0,,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Baba Nyonya House,SK7A,certified,1,LOVE BABA NYONYA HOME AC SDN BHD,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,BANANABRO,LG221C,review,23,HTFU RESTAURANTS SDN. BHD.,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Bar B Q Plaza,F338A,review,173,APAH KA BAR ENTERPRISE,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Bask Bear Coffee,G218C,review,134,BB COFFEE SDN BHD,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,BHC CHICKEN,G601,uncertified,0,,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Black Canyon,LG323-LG323A,uncertified,0,,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,BMS Organics,LG310,uncertified,0,,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Boat Noodle,LG321,certified,34,AROIVER BOAT NOODLE,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Bungkus Kaw Kaw,LGK105-LGK108,review,63,G&T BRAND SDN BHD,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Burger King,LG312,review,189,COSMO RESTAURANTS SDN BHD,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Canton-i,G208,review,6,PEAK KITCHEN SDN. BHD.,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Champignons Patisserie,SK107,uncertified,0,,https://www.1utama.com.my/mall-shop/
1 Utama Shopping Centre,Chili's Grill & Bar,S310A,uncertified,0,,https://www.1utama.com.my/mall-shop/
